frequencies,SPLs,Total,clarities,crests,SBs,CPPs,qdeltas,qcis
59,55,11,0.993858149,1.765082527,-28.80047851,18.88133063,2.115190075,0.501689081
59,56,11,0.993614129,1.746291571,-29.75148678,16.84595754,1.820423551,0.492781396
59,57,34,0.995181523,1.717597714,-30.64091501,17.68287187,2.653801973,0.482146875
59,58,69,0.990856438,1.689331165,-31.06755404,18.73830654,3.123781542,0.466145105
59,59,23,0.993956649,1.650049291,-32.44136593,18.43971421,2.24595039,0.484398401
59,60,66,0.989590891,1.657737163,-32.87532953,19.32010844,4.940593583,0.419293805
59,61,57,0.99322734,1.623403593,-33.44937763,19.9360225,3.530069343,0.460478794
59,62,34,0.992631663,1.627698207,-34.93602536,21.06263238,2.704739589,0.461078654
59,65,24,0.983399968,1.886832853,-33.23828494,23.98050794,4.383198864,0.288711056
59,67,11,0.992134492,1.936341041,-32.17086116,22.4463987,4.342959148,0.394919196
59,69,22,0.994271311,2.111551256,-33.79912756,22.0491066,6.563921103,0.343987854
59,70,11,0.963094764,2.109486807,-35.32043762,21.87858382,5.146594369,0.306859544
59,71,67,0.988030338,2.12454231,-31.96003622,25.15718696,6.070140466,0.306386745
59,73,23,0.992262946,2.023034599,-31.08890393,26.61921754,3.818297417,0.34317193
59,74,23,0.990229419,2.063836841,-30.04750616,25.75414705,3.855265434,0.359966644
59,75,23,0.990124349,2.099302076,-30.4349245,25.01048837,3.894913967,0.364729984
59,76,12,0.994694584,2.140797879,-24.89485807,27.50872879,4.120961538,0.34590373
59,77,22,0.994959113,2.155784803,-21.80978752,28.57821793,4.120456315,0.351356176
59,78,11,0.994948617,2.108604206,-22.72851722,25.910514,4.471903788,0.362182313
59,79,44,0.992827967,2.158817779,-23.84224339,27.07497328,4.783725029,0.387763693
59,80,34,0.99442307,2.289884172,-22.70963331,29.18545275,5.374136483,0.374178189
